dryeyes,spotting,headfog,memory,nausea,dryskin,vertigo,anxiety,bloat,chills,breastp,fatigue,depression,swollen,insomnia,headaches,tight,tingle,heart,nails,diarrhea,arthritis,tinitis,incontinence,libido,moods,heartburn,constipation,facial_hair,cramps,dizzy,allergies,hairloss,drynessv,itchy,ovpain,ovulation,odor,uti,yeast_infection,pain sex,vomiting
0,0,0,0,0,0.471791826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295461642,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.62542837,0,0,0,0.187206491,0,0,0,0.488082765,0.104352765,0,0,0,0,0,0,0,0,0,0,0,0,0.202192134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.62542837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374042294,0,0,0,0,0,0,0,0,0,0.479894821,0,0,0,0,0,0,0,0,0,0,0.740885048
0.471791826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498549873,0,0,0,0,0,0,0,0,0,0,0,0,0.130147146,0,0.684691904,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771463645,0,0,0,0,0,0,0,0,0,0,0
0,0,0.187206491,0,0,0,0,0,0,0,0,0,0.558720998,0,0,0,0,0,0,0,0,0,0,0,0,0.306010993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.312431157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340459328,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169665974,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.362994248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132209696,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.488082765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117678447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
