"mood_swings","spotting","constipation","uti","joint_pain","painful_intercourse","headaches","anxiety","fatigue","hot_flashes","night_sweats","sex_drive","bloating","insomnia","itchy_skin","vaginal_dryness","allergies","dry_skin","brain_fog","hair_loss","dry_eyes","brittle_nails","muscle_tension","incontinence","diarrhea","memory_lapse","facial_hair","dizzy","ringing_ears","tingling_extremeties","nausea","heartburn","irregular_beat","cramps","odor","depression","chills","vomiting","vertigo","yeast_infection","breast_swelling","breast_pain"
0,0,0,0,0,0,0,0.415646952777662,0,0,0,0,0,0,0,0,0,0,0,0.0946216347160702,0,0,0.143200869284056,0,0,0.224747499418793,0,0,0,0.0994890613362012,0,0,0,0,0,0.533169680684838,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25371264944613,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.146218190845378,0,0,0.101803806293211,0,0,0,0.222026098412565,0,0,0,0,0,0.174315775781663,0,0,0,0.0458292037063804,0,0.294534707960217,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3614362482268,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214036729866942,0.868235982798055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.498065466350454,0,0,0,1.83252817118768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.415646952777662,0,0,0,0,0,0,0,0.405708188097663,0,0,0,0,0.251016935692965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14158285407634,0,0,0,0,0,0
0,0,0,0,0,0,0,0.405708188097663,0,0,0,0,0,0,0,0,0,0,0.451981198741572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218040978524032,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.30869775814459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.30869775814459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.498065466350454,0,0,0,0,0,0,0,0,0,0.657065705162722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.146218190845378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127833962256161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463729247940136,0
0,0,0,0,0,0,0,0.251016935692965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14379946544554,0,0.786303676217994,0,0,0,0,0.144209132845003,0,0,0,0,0,0,0,0,0,0,0,0,0.154665854453987,0,0,0,0,0,0
0,0,0.101803806293211,0,0,1.83252817118768,0,0,0,0,0,0.657065705162722,0,0,0.14379946544554,0,0,0,0,0.14163772632452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786303676217994,0,0,0,0,0.22092148805525,0.275232276645928,0.293253907273812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.451981198741572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05797242402011,0,0.387972688196045,0,0,0,0,0,0,0,0.514136268657181,0,0,0,0,0,0
0.0946216347160702,0,0.222026098412565,0,0,0,0,0,0,0,0,0,0,0,0,0.14163772632452,0,0.22092148805525,0,0,0,0.405972452787548,0,0,0,0,0.185496258935703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275232276645928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.214036729866942,0,0,0,0,0,0,0,0.127833962256161,0,0,0,0,0.293253907273812,0,0.405972452787548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.143200869284056,0,0,0,0.868235982798055,0,0,0,0,0,0,0,0,0,0.144209132845003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391273031159905,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249729163068163,0,0,0,0,0,0,0.580528260676919,0,0,0,0
0.224747499418793,0,0.174315775781663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05797242402011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185496258935703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387972688196045,0,0,0,0,0,0,0,0,0,0,0,0.561887110181909,0,0,0,0,0,0,0,1.01842060595815,0,0,0.11115231045894
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
