,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,hot_flashes,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,night_sweats,nipple_discharge,odor,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,0.9999999999999993,0.2415878035462665,0.21449590360359694,0.1443856659300609,0.0996983558071706,0.02166164176625716,0.1938386794472603,0.040180399720637784,0.18103631862991437,0.019576202473727763,0.08395724632246283,0.07211879843139202,0.1177412839389333,0.4465016975075165,0.34726503660448044,0.1496359006791931,0.27017035694220154,0.07785975796890827,0.20321484870820608,0.25803074286912875,-0.06583682146683663,0.08639982467450612,0.19943388539224513,0.046754687725680255,0.28149602672341273,0.3128144033585335,0.15539207495798604,0.061476321835041745,0.28450747720201414,0.0775859263924655,0.09893142204847463,-0.018914366790776137,0.11831809630541883,0.05179298616351529,0.1422764596164958,0.19722497149752935,-0.007655266659434857,0.11627605814766749,-0.02097931083956074,0.27087878817809175,0.054025841880498505,-0.001761525172903317,0.07134374882045526
anxiety,0.2415878035462665,0.9999999999999997,0.1465587600573568,0.35825556591102886,0.10796024081018359,0.00041798414245497836,0.27425238082942444,0.12565736370563108,0.07692002054013415,0.018453572708327416,0.40743668884308115,0.10976996312494954,0.2906308047299217,0.27075048744311625,0.27599074582858363,0.1495744637735998,0.3717339406731347,0.14466082257024745,0.1763557190816545,0.17372564069033727,-0.08822817356272782,0.11359038976985951,0.25866077877293764,0.1371456518819363,0.21392576390804405,0.22932503014511146,0.28407846725137925,0.33420641224398656,0.3205866901304738,0.10657526556940816,0.06487806172903726,-0.007324525918884817,0.11970611087983213,0.014001200127974725,0.12126858183709383,0.1443409064728766,-0.013203747058971376,0.11497808147160055,0.023296384854369058,0.13719455904663846,0.04996661076273476,0.003989158692316693,-0.012949924705610107
bloating,0.21449590360359694,0.1465587600573568,1.0000000000000002,0.22552816656337085,0.10679378458674782,0.11581247918748418,0.2704571205619845,0.01617224946618181,0.34911898511416145,0.08383216233404746,0.03282723575190876,0.1475947895885801,0.055312421891741216,0.21761682401089047,0.24473663630121537,0.18921910888853277,0.24262375654580887,0.10846103243387309,0.0829421628096409,0.3075856281770726,-0.06349021871551207,0.1117526933688871,0.10849210123107489,0.00027995330793879094,0.2833446335720328,0.19129390759163625,0.25403661090720747,0.11673355689568946,0.23998427938757036,0.04842389636460737,0.07608374593534015,0.23933319356701752,0.02871262566700626,0.07132138805450794,0.06274685476894722,0.0993772217169619,0.3043361886758127,0.030517612341098233,0.05040403958010632,0.2049302040206615,0.05363778537361559,-0.007578828059215492,0.03576638909251591
brain_fog,0.1443856659300609,0.35825556591102886,0.22552816656337085,1.0000000000000009,0.01804544318275212,0.04566069754236805,0.28838591751257714,0.12319017550897599,0.25554026279221714,0.019207230930321194,0.32908744363335246,0.10420442369199032,0.22459556745167458,0.2633222001983112,0.29968818565323596,0.1426785274243629,0.5340189694029248,0.23300742179322198,0.10568464065761789,0.14585687456140764,-0.04462231060012905,0.07320068034510051,0.22858921690127798,0.06270997320197924,0.24584039601985308,0.24380014510709666,0.521921071459913,0.29331506774403515,0.308328237879113,0.051994739133614964,0.08087777931003973,0.19835780087558944,0.11529380273876184,0.06308001036912518,0.09123663286666946,0.2820307310145733,-0.003524046943751921,0.07787326661672371,0.05231420184227342,0.17693024410102373,0.024560955641011118,-0.006908781754195598,-0.0016491684088522467
breast_pain,0.0996983558071706,0.10796024081018359,0.10679378458674782,0.01804544318275212,1.0000000000000018,0.28736396458350616,0.02257543709793593,0.03430164698225462,0.01761687098637978,0.18588122132217394,0.10488433398341729,0.10683129337222387,0.10821693055520255,0.04680323722955375,0.15001127353653054,0.02776967645571349,0.16067761980529213,0.024858638546820626,0.18608859730009542,0.1385208674234202,-0.0351259540013292,0.05500409554425313,0.14000563215592357,0.03726186847449188,0.07207608427057698,0.08556830891015242,0.033633871409490555,0.1428816507984492,0.1492624279559142,0.006413653819500648,-0.0028519082566789296,0.021017274793870607,0.06616354562108406,0.011168168384577001,0.06449299130392354,0.07627023944363752,0.18725861079050168,0.03533217526672759,0.0042571407774712805,0.05691353634678844,0.03728916483488816,0.006859615745402553,0.21837464037334378
breast_swelling,0.02166164176625716,0.00041798414245497836,0.11581247918748418,0.04566069754236805,0.28736396458350616,1.0000000000000004,0.012891183576577096,0.05582104558811222,0.13069019085366246,0.02987008880079678,0.0023385339989117036,0.0253195306924953,0.036498795875870134,0.016938238873049186,0.09494317724947557,-0.012269215857811747,0.00022889843070377498,0.0157509869270964,0.03983937556199789,0.019242916303523344,-0.04496050592268453,0.041435719056059084,0.04409566850954377,0.0024295333969393917,-0.014477717965210838,-0.013170906142579038,0.06099966787888904,0.04190593534864845,0.03513425054501372,0.01544858283907988,0.020211843737340467,0.20747991368527097,0.02419515578139508,0.0076393043163045645,0.032297060919501505,-0.009146141601349436,-0.007715009286183186,-0.007905980666412038,-0.0010657955853642996,0.030306958494004985,0.08434336293890746,0.032665737460190226,0.1293559304659604
brittle_nails,0.1938386794472603,0.27425238082942444,0.2704571205619845,0.28838591751257714,0.02257543709793593,0.012891183576577096,0.9999999999999976,0.14670660774514935,0.21231697424415197,0.016730366998319923,0.16463863786839764,0.12824262892999255,0.189655340916998,0.42545820394876016,0.5297568099074097,0.34427246766627445,0.2932327685831425,0.3370503122849654,0.1358648267045913,0.02927036420404947,-0.07330667148697306,0.20932311205405102,0.032767973999512624,0.04375179849699659,0.3910530977234745,0.23127519579813832,0.3370653880044365,0.12695333888274685,0.36782902482992735,0.03213022509660217,0.03588407959752017,0.05119960181909485,0.07422737718293967,-0.006464418913493901,0.062012984911104796,0.14687589396446807,-0.010882704913455046,0.13977513607477504,0.02887794171103322,0.35310435150891845,0.0024490182793128266,-0.0033491349155071373,0.07974812684662862
chills,0.040180399720637784,0.12565736370563108,0.01617224946618181,0.12319017550897599,0.03430164698225462,0.05582104558811222,0.14670660774514935,1.000000000000001,0.013214307178648564,-0.009243279064867526,0.08220906747882958,0.03926677174824544,0.2420926079349344,0.056277054354450504,0.18742107484682696,0.019650295757672593,0.09894887529778389,0.006374467052243547,0.1892288226374874,0.027880573493676217,0.09515720545311179,0.00502188810897722,0.048129623994893476,0.10414289001943224,0.09155868611063075,0.09008914281988879,0.018300681716678195,0.14588944767053252,0.08052337652723567,0.02331326479089208,0.22325293625588674,-0.008436365631451094,0.05618374790215939,0.04224794037975364,0.003614404734722405,-0.004406616473282112,-0.010932183784157157,0.14434424627218423,0.0463328915913712,0.019466042144492008,0.07394340479938946,0.024770210304456444,-0.009114362410070796
constipation,0.18103631862991437,0.07692002054013415,0.34911898511416145,0.25554026279221714,0.01761687098637978,0.13069019085366246,0.21231697424415197,0.013214307178648564,0.9999999999999997,0.01721113491975558,0.10933818118920043,0.057035009623795006,0.04683231072815791,0.1559081419266555,0.20546924276420037,0.05721599180294321,0.14150485953913844,0.11271486953736978,0.11197553974638952,0.10888792516995094,-0.04700885253318792,0.06278914088267656,0.07815314410118471,0.0203955839195428,0.21093662595328058,0.14886596064280888,0.3251995409966815,0.07997885501112229,0.2105420831510646,0.033080822088101335,0.08318512696437998,0.25066433947554634,0.01949972956014695,0.06337403898655841,0.06140380047448415,0.16244407933963081,-0.004250096851549619,0.025820221152821166,0.022078202771423378,0.20448608148330005,0.09541039901684424,0.05760238706101341,0.09387170997192101
cramps,0.019576202473727763,0.018453572708327416,0.08383216233404746,0.019207230930321194,0.18588122132217394,0.02987008880079678,0.016730366998319923,-0.009243279064867526,0.01721113491975558,1.0000000000000002,0.032863619613816265,0.04938953464098266,0.03415744462745423,0.01845763259002339,0.04730038060620183,0.06590007365538614,0.09663513029876546,0.004218522009780796,0.05331547317018782,0.040882525937397086,0.010065700188923749,0.02266759938346977,-0.006160299513079177,-0.014485826283515734,0.04503224180320566,0.02751283885036732,-0.0005987585645608239,0.04536402917823769,0.019471797027488132,0.008999717187560718,-0.010063258553749432,0.02428230089779008,0.050963295686958295,0.009320608733048826,0.02640779186099406,0.04077425665155292,0.15238197077077748,0.011363278667914712,0.04287440611622874,0.01689883078516427,0.020095069822829933,-0.00023285124442011887,0.0909511369695606
depression,0.08395724632246283,0.40743668884308115,0.03282723575190876,0.32908744363335246,0.10488433398341729,0.0023385339989117036,0.16463863786839764,0.08220906747882958,0.10933818118920043,0.032863619613816265,1.0000000000000002,0.1113444868280909,0.1867737455389461,0.13045421249460304,0.13981530255296024,0.15051667953250392,0.34299088122517296,0.1667655574897924,0.24670678382473532,0.11479367625855876,-0.05716901640071211,0.10405518363942118,0.24126795386729818,0.06999027502087016,0.16128906487372394,0.17430405544118616,0.22223385795218478,0.3921934859792917,0.1671863641008843,0.039270003205926385,0.005361820724825493,0.0636906096549535,0.12773950766900663,0.03116271518199791,0.10452448866214377,0.23272738733850912,0.00488487271303408,0.10925463705173966,0.023743347351528547,0.055339852735051494,0.08497852279216846,0.017604931487647094,0.0003675365513626081
diarrhea,0.07211879843139202,0.10976996312494954,0.1475947895885801,0.10420442369199032,0.10683129337222387,0.0253195306924953,0.12824262892999255,0.03926677174824544,0.057035009623795006,0.04938953464098266,0.1113444868280909,0.999999999999999,0.19455203278098546,0.1310849270691467,0.22306666631964756,0.08709385572054466,0.18012663020339442,0.10664699251114414,0.09514797508211557,0.08676897665706891,-0.03413337230343122,0.1361817758454208,0.05381900556924408,0.015285722013299313,0.27661211884244896,0.17155848756830389,0.0804499942660659,0.09452350422658712,0.10782989386582724,0.2593310749778164,0.035345267449266624,-0.006759460999448865,0.09500937821079551,-0.021294874874211354,0.025204287295893694,0.03063963692170117,0.025634196626011824,0.15690961051240143,0.02252294962984155,0.077245037459043,0.1539089504827469,0.05235238449893784,0.06953236420349124
dizzy,0.1177412839389333,0.2906308047299217,0.055312421891741216,0.22459556745167458,0.10821693055520255,0.036498795875870134,0.189655340916998,0.2420926079349344,0.04683231072815791,0.03415744462745423,0.1867737455389461,0.19455203278098546,0.9999999999999991,0.19906571964875353,0.293028206174428,0.11817502298321322,0.22748276214732144,0.1145807395906153,0.21726848343216806,0.1209511455286866,-0.0443166726623381,0.13468808297564436,0.06957621617294361,0.15979603316387506,0.2415842202625398,0.15811182913271785,0.11082878706421226,0.137233869742098,0.17341529805992187,0.15355282848815835,0.012237866169626967,0.00922443830044371,0.07588895983666191,0.027090882086408072,0.07174790922413457,0.10544109869388057,0.00944933068512304,0.2606930500425721,0.03256005128463966,0.07160929865444043,0.24499031907000293,0.029783561004767874,0.04047572699349545
