,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,1.0000000000000002,0.368842995753005,0.11742313579247068,0.01837392896376463,0.040078812346045864,0.11868715780059433,0.3913597719762518,0.05027346730116375,-0.0031362337538351367,0.17941312184079067,0.11687180849829425,0.09920218034717379,0.026856274980410638,0.35094207736844824,0.3920868239732557,0.019866221585420236,0.11341504107159628,0.35194955339119216,0.04318573760992804,0.13876430671671633,0.09806465665545991,0.06497310372329097,0.0748934154073532,0.31503815917792777,0.06108317273573797,0.008996287641920045,0.01565485783523539,0.1647404627325457,-0.017699359474666648,0.0055602704669576765,0.06000839677026539,-0.016292693174580333,0.01116624696845863,-0.02096923787833747,0.010080672713166169,0.0410592534308551,-0.004713877973351483,0.11567870858993957,-0.016003139195844902,0.0008426541283125491,-0.01743190627582724,-0.008256613081055386,-0.004266376581792
anxiety,0.368842995753005,1.0000000000000002,0.09380250080755202,0.31607503809381077,0.07687053940293712,0.04145961924232068,0.5963911105267095,0.11465015940491131,0.009768853209548569,0.06533522150576652,0.4354423789957417,0.06220252696641492,0.09707927808642498,0.44219785210130963,0.5266607903620606,0.11766413154409336,0.3113789973895702,0.5163427119835169,0.09269782236138907,0.032873534086041566,0.06448334340407139,0.45307210214769794,0.09446760437862141,0.35106251321095766,0.09903449572721285,0.289229115775714,0.34542839705464423,0.2523323872828329,0.11865226886180823,-0.011927096290940294,0.09437432617669793,-0.022953389964936184,0.043876371516967966,-0.0311978247541456,0.04658595946658332,-0.0031680458806456167,-0.03938449722628971,0.1370884372027213,-0.01939977220503645,0.012615642888680742,0.012712175089562471,-0.017542601961893566,0.0238438333720701
bloating,0.11742313579247068,0.09380250080755202,0.999999999999999,0.13509877508423856,0.13965421384403814,0.238036280266451,0.018546613503175487,-0.0015572634838065594,0.18243619975363487,0.2760167454389866,0.05152570435977813,0.038644101146378784,0.1140613426000111,0.09179341339926832,0.01223389947257313,0.0010075824752551663,0.2885215244806338,0.01546806500549641,0.13121093588506025,0.10800828331798697,0.02316741808216092,0.03693043576571446,-0.014671714202792374,0.05540118366063835,0.16413045245246669,0.11873634716978201,0.056400089336291516,0.12626660784351237,0.040909402617996825,-0.030412669439599273,0.057577169960549665,0.0877758559993517,0.12667026983312127,0.00640105633539131,-0.007984230966098498,0.011458346632087283,0.059585992251935144,-0.01122432648365499,0.15042772214308064,0.08608976301782971,-0.013299896039346093,-0.0078019244653338,0.0011387713259433591
brain_fog,0.01837392896376463,0.31607503809381077,0.13509877508423856,0.9999999999999992,0.06868653441099407,0.00037289960604584225,0.048056077993998164,0.0804625423615394,0.05091420928821085,0.032488405554893164,0.3511588706309245,0.07046977064457097,0.15655015611454354,0.005761310290831031,0.055089997211858,0.06573308732828838,0.4099870836816562,-0.012593163888573079,0.1259709724780417,0.050185335016054704,0.13049402922646922,0.25905730812469185,0.042411498094463373,0.16503802416393504,0.23819509028509867,0.461272298634555,0.2536992747401069,0.1705753780394783,0.04927326926677781,-0.006727507286037891,0.02966537736858453,0.03375584710316251,-0.014712393776326311,-0.03689696988983763,0.07395610251541451,0.0546592140429452,-0.008706360513034032,0.21736349823220577,-0.002501165937800521,-0.0017588376963354436,0.0482168257838601,-0.020299465381259863,-0.025689328568263333
breast_pain,0.040078812346045864,0.07687053940293712,0.13965421384403814,0.06868653441099407,0.9999999999999987,0.4803690157004257,0.0016006980216477385,0.06165182923312953,0.058164852552755594,0.3073462058087379,0.009390739301532846,0.030838136181604157,0.12153292674699691,0.013450369677199694,0.012518236036851883,-0.05130883322332313,0.11907055811423657,0.07990418758474549,0.10731468476131631,-0.004361577025190432,-0.009428481380239506,0.07536153797887522,0.0038605816223169606,0.024330342644856142,0.2055410348694418,-0.036064726601972664,0.11704374769179629,0.14739123371572144,0.0910063964148814,-0.010503241734084186,0.0004059339238751544,0.014158695106108394,0.02528345616047824,0.009426268365820988,0.0384473153103301,-0.026082114668677537,0.1108004503406527,0.11001705924029515,0.046613587558268374,0.013307773088776833,0.011659301049222885,0.030169365652507954,-0.030914865064633482
breast_swelling,0.11868715780059433,0.04145961924232068,0.238036280266451,0.00037289960604584225,0.4803690157004257,1.0000000000000004,-0.00629918445211603,0.0015063512129108692,0.06408280346202438,0.18370604647858466,-0.04050712589584137,0.01867204110193801,-0.01276470557436339,0.03793338298059272,-0.007190132863178058,-0.029793330085614293,0.008117692501929105,0.07128208597819521,0.033534624155315586,-0.0178614812966088,0.02580358355925045,0.02779958135304509,-0.012157661885709839,0.02740501796923229,0.04860993416668785,-0.056622791236945004,0.05669527978656792,0.07236991732489303,0.022739873720518004,-0.006131171416990282,0.06812184372585056,0.028473024338623722,0.03460636442761011,-0.017728588485148813,-0.004549808105227186,0.011690560689920113,0.04456014964559748,-0.009993285647777418,0.0257896920577367,0.13216479765953273,0.025234316190204976,0.005761634400086778,0.1631072743673031
brittle_nails,0.3913597719762518,0.5963911105267095,0.018546613503175487,0.048056077993998164,0.0016006980216477385,-0.00629918445211603,1.0000000000000002,0.0084195193568917,-0.0019602039093135635,-0.02624357079945499,0.24245868209022292,0.016063914556070785,-0.016351866450945756,0.7901836084375694,0.9084511795970378,0.032467773668801235,0.07403827252416141,0.91176533481349,-0.0031333562004061213,-0.0038153791686139737,0.04786661725408829,0.14244403577417963,0.0393813440800234,0.4244643105130013,0.06216990416114726,0.07107845230682501,0.04661420313318493,0.27404548349162855,-0.014313225074087842,0.005310172507795713,0.006763982413725261,-0.004865980233233635,-0.006593897089567154,0.0035375960071742122,-0.004952954657972721,-0.004946957214530464,-0.013144914159301644,0.07171878237282907,-0.006342889078006846,0.013980328382202678,-0.008897437417018992,-0.007178927459138019,-0.008477749160164348
chills,0.05027346730116375,0.11465015940491131,-0.0015572634838065594,0.0804625423615394,0.06165182923312953,0.0015063512129108692,0.0084195193568917,1.0000000000000002,0.04619087618181286,0.026936183168459384,0.03004230249045865,0.026645957388912102,0.1034804631727897,0.027620196952603898,0.05376202836311473,0.18105450199262343,0.06346432077363003,0.013008625046382706,0.10033024351152478,0.09119897839678555,0.13460581950355416,0.08234456653003384,0.06221185036363929,0.16800781626231293,0.05687492894641403,-0.0022382942566099525,0.016479844641786746,0.1633737281311015,0.09507304938654618,0.0020802130817973033,0.043184920109343945,-0.0028316445022371207,0.14340093025211215,0.017864376544632854,0.0901791428427231,0.03468436178847126,0.005159147073816517,0.19667788379271314,-0.010313209546352913,0.051145929947701986,0.06944468377580755,0.016505632100586504,-0.0008152304095976873
constipation,-0.0031362337538351367,0.009768853209548569,0.18243619975363487,0.05091420928821085,0.058164852552755594,0.06408280346202438,-0.0019602039093135635,0.04619087618181286,1.0000000000000004,0.09813749085459302,0.03531224338922074,0.018305941604557854,0.12790298673760847,0.15081800460254913,0.021452505221135856,0.11840269220166427,0.12240368578104617,0.011815891343735884,0.17676528057503485,0.0413574600893694,0.07572382916145298,0.08023885358176146,0.09066701452874026,0.02926903409345381,0.10496076237932894,0.01975267365728037,0.020963025792585726,0.09355738073351483,0.04818679547972335,-0.0045139849454056006,0.03309511413112266,0.004400009421990521,0.11230629054499182,-0.01371202925181075,0.17354407784249465,0.06769580941819386,0.19152660504717814,0.05919444172769926,-0.011767805366443588,0.12238076294171339,0.03026241083109899,-0.017440841536542625,0.029612159180534666
cramps,0.17941312184079067,0.06533522150576652,0.2760167454389866,0.032488405554893164,0.3073462058087379,0.18370604647858466,-0.02624357079945499,0.026936183168459384,0.09813749085459302,0.9999999999999992,-0.05813810815485258,0.1378963860546888,0.1165257208898067,0.013728195605738146,-0.021161382039382035,-0.00430978354666788,0.18823822001733925,-0.006723662901714946,0.24970910609557395,0.08806303914515395,0.08462917793759644,0.0679578758432065,0.06345535991603697,-0.029959336667534583,0.10622853924578492,-0.08639420515578525,0.07763835793550779,0.1078826134322499,0.10832481658998057,-0.05177761433838237,0.07654232708680628,0.0019228637672062813,0.1799062790517171,0.01511903389077363,0.03501488443755656,0.026317308274966363,0.2682959861267437,0.0012018921006294219,-0.01674345996537113,-0.011061414934482969,0.007751622502986559,0.0109621769527109,0.026861183024266443
depression,0.11687180849829425,0.4354423789957417,0.05152570435977813,0.3511588706309245,0.009390739301532846,-0.04050712589584137,0.24245868209022292,0.03004230249045865,0.03531224338922074,-0.05813810815485258,0.9999999999999994,0.06809813690370184,0.04623676420187572,0.1323976572653573,0.2298538295022636,0.07190660589395809,0.29380310090956097,0.1477423272778855,0.11939148364951217,0.03649830201568946,0.17814828223038934,0.30999299373493405,-0.004149476175435057,0.3326157711677078,0.13965873481063026,0.2959980717352509,0.3797470486344716,0.1580417982266872,0.02031497697842842,0.0039393574045408645,0.08436924518132632,-0.01187799062457834,-0.02131075347323457,0.04773059232751522,0.07931126168630172,0.03550957478355367,-0.05970455117419735,0.17668218332510804,-0.020113896456394272,0.03714909346141724,-0.029078341796447135,0.17330504272785488,-0.02980515667726979
diarrhea,0.09920218034717379,0.06220252696641492,0.038644101146378784,0.07046977064457097,0.030838136181604157,0.01867204110193801,0.016063914556070785,0.026645957388912102,0.018305941604557854,0.1378963860546888,0.06809813690370184,1.0000000000000004,0.06984719337359259,0.00404518086200582,0.03976148424772059,0.0597020455016798,0.07990558519487967,-0.0008614111548371683,0.07319290268724346,0.2247871383884077,0.2172079791993208,0.08424312565651328,0.4348915831251182,0.14897737022571203,0.10064877303205812,-0.0010310750223162684,0.015178758166258277,0.08744357601196254,0.1644894563784823,-0.008223420249280224,0.07382190923289099,0.01335948717055944,0.028749624450619345,-0.005797247319619918,0.18644952259728484,0.01441580708349253,0.07885295233669433,0.14935399863570578,0.03454934390938216,0.024874670278373645,-0.004310756413704343,0.011272306983275965,0.03269608144666742
dizzy,0.026856274980410638,0.09707927808642498,0.1140613426000111,0.15655015611454354,0.12153292674699691,-0.01276470557436339,-0.016351866450945756,0.1034804631727897,0.12790298673760847,0.1165257208898067,0.04623676420187572,0.06984719337359259,1.0000000000000009,0.07787813815763688,0.0184312777684074,-0.0310893639540076,0.20558000586566597,-0.005947148371048896,0.2779098959169825,0.05949949799606058,-0.018827354465211246,0.06014554491872074,0.1043116370293945,0.04718619745964887,0.16899001517617976,0.01735960359755429,0.062371315830899866,0.2329902416589619,0.3460331985510868,-0.013171026480328885,0.043747735096039485,0.09201942859555329,0.10992972731619552,-0.0040329675950006505,0.11972979818649582,-0.02356928871146999,0.09803348784533986,0.13265940986298155,0.13519237402183015,0.03760104048813448,0.16162605446165926,0.010597704967974316,0.015447052799116817
dry_eyes,0.35094207736844824,0.44219785210130963,0.09179341339926832,0.005761310290831031,0.013450369677199694,0.03793338298059272,0.7901836084375694,0.027620196952603898,0.15081800460254913,0.013728195605738146,0.1323976572653573,0.00404518086200582,0.07787813815763688,0.9999999999999999,0.7583975910414743,-0.011009890776026595,0.12588682838522425,0.7581393442589462,0.07923575225816322,0.003438099620667974,0.01519308239062465,0.03349245934825903,0.05520499915180496,0.2959904381006734,0.056479715214137034,-0.012472257610253676,-0.01745206438025549,0.2380451025015816,-0.012042007827595694,0.006281821896950484,-0.01668384163185089,-0.016324878487849418,0.009541133965663182,-0.004034017113945754,0.013065092887972765,-0.009571487265094056,0.07090087803305631,0.02606195891846574,-0.007972071259463242,0.22157177185993016,-0.012809620782881115,-0.011698505311760183,-0.012264726129484633
dry_skin,0.3920868239732557,0.5266607903620606,0.01223389947257313,0.055089997211858,0.012518236036851883,-0.007190132863178058,0.9084511795970378,0.05376202836311473,0.021452505221135856,-0.021161382039382035,0.2298538295022636,0.03976148424772059,0.0184312777684074,0.7583975910414743,1.0000000000000004,0.061161808106658944,0.07610878330865113,0.8645061642501645,0.004042577972422831,0.031095998694531345,0.13453850586292565,0.0751092186736427,0.02405726500838173,0.47830709055198245,0.06416173093037578,0.02193272273775019,0.020907444397675265,0.29507983924999964,-0.0030025394423682816,0.01056045679995954,0.006040486669913794,-0.01243033335488245,0.03151010264788445,1.3950605017323955e-05,0.013321975455547,0.01408383997679801,-0.007153255741934565,0.1170071916831844,-0.00514278060559433,0.013072332648093118,0.0009150732943806516,0.008023492446653827,0.005904353598404084
