,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,1.0000000000000002,0.1560027425653591,0.057125238944059666,0.052517896909552164,0.01920834481028892,0.05615013035219544,0.1269780008944872,0.01767012470182472,0.001745352559004319,0.12411785329157629,0.0722033592756294,0.06843014375041227,0.013520512984834322,0.05267405574253245,0.14232913126858365,0.022553536389254506,0.10388333011893965,0.03360771669503062,0.03933084324733968,0.15492852687860817,0.10503486629092477,0.06530534326830044,0.029299650524387707,0.23456340409809123,0.06343550804348276,0.025453993904511522,0.034633901149831774,0.07155386574808584,-0.015889513583457866,0.011265152963520448,0.0730433185154488,-0.016155267443991386,-0.0012900102687311709,-0.03249103234985825,-0.00015485637934486635,0.0343968527347606,-0.003573897468975156,0.11113687151025095,-0.013757509149753704,0.0036395666407469103,-0.022945607529601796,-0.0050075393880740626,-0.0032439205109872416
anxiety,0.1560027425653591,0.9999999999999991,0.07825313818734175,0.4276643697807201,0.0675846219833344,-0.005923612503425301,0.5023169484752489,0.07333354171529646,0.02515430596785139,0.03438425203569836,0.42107298285113703,0.0636419561105691,0.09340156209516087,0.0019369482749063587,0.10524884475339732,0.15272774157595173,0.39571340560738966,0.08413080518561142,0.11795506176963151,0.031256404127005435,0.05051355772813312,0.5589111388865349,0.09086949716349842,0.18280717172831382,0.1542891256426727,0.3791839239346984,0.44353263972731083,0.1578883429881468,0.15702576824651546,-0.018028171799279513,0.11861977067658648,-0.020971500172716356,0.019640841873689648,-0.036580243545457865,0.05636505767079867,0.004004174244271352,-0.04313733968747234,0.18609538007247392,-0.017005343633931306,0.017340850505396743,-0.020461336978431974,-0.018128170114557262,0.04867924322771996
bloating,0.057125238944059666,0.07825313818734175,0.9999999999999999,0.1941762276569883,0.10835846506757957,0.20645707346450143,0.0490192243809646,0.0044061035916970834,0.18859965188354366,0.2394870285380027,0.0781061236926757,0.10462246816531827,0.10911535144754675,0.15299008426533314,0.0019003724439106992,0.018155505021200932,0.3107157850939125,0.028058522925071404,0.13185626853411417,0.14476759296993652,0.0327263658173398,0.04435556337227334,-0.015261192212579626,0.07002819244534186,0.2191537343550363,0.15766919795140233,0.04450885521595388,0.1695400620333303,0.0589851596261865,-0.03388463199717693,0.04830980344371581,0.10360423103297062,0.11354206414097198,-0.032824310902001226,-0.021966571479046553,0.008491584967050844,0.07264798368742864,-0.01759619551814524,0.16656838692600698,0.06719771132696475,-0.04312937860918425,-0.002212979961467549,0.020225525405967098
brain_fog,0.052517896909552164,0.4276643697807201,0.1941762276569883,1.0000000000000002,0.0812850041382187,0.008525846009950721,0.3458409318011587,0.09622125701287043,0.06871681316956232,0.05875083503430131,0.40103959363077496,0.14587371900547966,0.18404275626159294,0.0825040216619571,0.18379006062867964,0.05717416310925383,0.4378060571797483,0.02187014563980492,0.1675258811476633,0.08212017511908709,0.13568795637195552,0.2826225898628192,0.07976721598533548,0.22372179839005227,0.28068359284415556,0.4810327114388565,0.2720371081570187,0.22127494119565774,0.04262862402936126,-0.021460052210620053,0.044379321847309326,0.021447947560781982,-0.04019370209036248,-0.031157365051634977,0.08981384896739825,0.06532498020181948,-0.007894777030223621,0.27528077404735607,0.0033787500535712427,0.017965095901960007,0.05203328043278293,-0.022493810471848813,-0.019182916564090963
breast_pain,0.01920834481028892,0.0675846219833344,0.10835846506757957,0.0812850041382187,1.0000000000000018,0.47703417591470465,0.033377617366466425,0.024731276899030433,0.06396555552612117,0.3146885308453349,-0.012312304849410472,0.048286926130559314,0.07894600699932199,0.048726517212663065,0.029476117180119676,-0.05267016106711022,0.12489509760719741,0.26301114901992884,0.11911867231666629,0.0005095866939602836,-0.019105434549286943,0.07697323595000899,0.011250018236221631,0.009333591695248044,0.1996073372309326,-0.030592468486618993,0.09925281413090965,0.1370665519280922,0.09981106139847165,-0.011019958305434887,-0.0070995491154653,0.014292095685740976,0.010403947987063542,0.0018768751752604646,0.017775806478156585,-0.023062451524421893,0.11692802759640315,0.15346582781409943,0.04914757915575778,-0.03674246801633077,-0.006520285587139143,0.0343164425100685,-0.027274743678048528
breast_swelling,0.05615013035219544,-0.005923612503425301,0.20645707346450143,0.008525846009950721,0.47703417591470465,1.0000000000000004,0.015016214092848208,0.009750251982673156,0.08958531721412559,0.14329581802071034,-0.03702538088692231,0.05146896090767237,-9.693926627028324e-05,0.07826950681595471,0.035699829742859734,-0.02464440900067254,0.01815295421871222,0.26064651099905317,0.06544218695272626,0.0018887277158228285,0.0438039455124761,0.05026224875676108,0.0013168232245974383,0.053184889781193484,0.059178049538313515,-0.05614554989706121,0.06845948433593334,0.09092373235741275,0.02823726837829713,-0.0211361110421576,0.07189686623193735,0.035647111852507116,0.04667735972291047,-0.009158122167911394,-0.0010460982460652212,-0.005538400038091808,0.05595611955384927,0.001124800205016138,0.0320513426116539,0.16050834933113753,0.0052990375815942185,0.00799437368500298,0.20709748983385756
brittle_nails,0.1269780008944872,0.5023169484752489,0.0490192243809646,0.3458409318011587,0.033377617366466425,0.015016214092848208,0.9999999999999999,0.04472061184784213,0.04374927219813484,-0.027543975765314577,0.3613581075202672,0.09700751454981288,0.006646779320103584,0.05843925726665799,0.2885119184760575,0.1941032817731043,0.23696415580108346,0.13557321999067978,0.005800124117079996,0.036544866533389155,0.08764741953494733,0.4976674099325116,0.023633364901142165,0.3063943269945861,0.1887994218637593,0.3886582131245135,0.28066086776632687,0.10770511129148291,-0.013839927135527232,0.030288103651804475,0.10106078849839781,-0.00745394181898977,-0.022271095999957406,0.01154281741378449,0.016681772793796353,0.03317429806790164,-0.02207220602570544,0.23436345379709164,-0.013220637347444658,0.07263473605066532,0.003633986313165454,-0.017380853304035174,-0.004846731028584684
chills,0.01767012470182472,0.07333354171529646,0.0044061035916970834,0.09622125701287043,0.024731276899030433,0.009750251982673156,0.04472061184784213,0.9999999999999992,0.04708649738345901,0.0002423278788074563,-0.001819777489013524,0.07075609504681907,0.05344766593061491,0.11321153770508904,0.10311705641703517,0.1247137249651174,0.06367869871019374,0.0456134784956709,0.11783059980937889,0.03623215749464618,0.1080828595195637,0.08584505290557276,0.12580544085821754,0.13893620522379402,0.03855223935432005,0.003859948248600861,0.022373801352910158,0.11393903272232983,0.0851048917676877,-0.003491890432017601,0.023502695747206096,-0.006161695688172136,0.05406329580642759,0.02406187430631614,0.1296579778011915,0.06029856734030112,0.013195663717539751,0.20846974110139319,-0.007404669045169079,0.06185576852678978,0.03409599236902466,0.022566780669359455,0.008810393692968977
constipation,0.001745352559004319,0.02515430596785139,0.18859965188354366,0.06871681316956232,0.06396555552612117,0.08958531721412559,0.04374927219813484,0.04708649738345901,1.0000000000000004,0.1045830170604716,0.04249095812119913,0.0467964303540534,0.13568657045457475,0.4494317859889618,0.08815093171133992,0.10394868868847107,0.1413249710368379,0.07570251123125436,0.22747287788156698,0.04362979767354368,0.0847640869487937,0.0807120446978021,0.09706834903758858,0.03456838643122351,0.10716264437225796,0.02539893658865824,0.021526172138176453,0.10263473796304909,0.060877090189122136,-0.012819393539062467,0.05172080278877486,0.0030457484301985634,0.09790208968503136,-0.012409255915968479,0.1842549169171706,0.054448433254108516,0.19877084955437996,0.06729144023888367,-0.01056493206097783,0.12441735670748418,0.03253150051282706,-0.01659699824007577,0.029701898709259024
cramps,0.12411785329157629,0.03438425203569836,0.2394870285380027,0.05875083503430131,0.3146885308453349,0.14329581802071034,-0.027543975765314577,0.0002423278788074563,0.1045830170604716,1.0,-0.06106966184988306,0.11830546705962662,0.13425895559978462,0.08557211804633928,0.014496608384081136,-0.001235674393073573,0.21313380786991704,0.03483434461917415,0.2969053295491942,0.0781274318503992,0.10510262460330178,0.08493912240069343,0.01961868963011666,-0.03275399646696735,0.12850019015699796,-0.08220060672396905,0.07060031353085401,0.13171632944345185,0.12423949179257858,-0.05639585343230039,0.055872023935226105,-0.003019067066311254,0.1936396734910995,0.018042014021836104,0.022521837388673242,0.008800226365879293,0.28412515873620936,0.02577683690223802,-0.028219144913522773,0.011504567276410135,-0.024591907017056193,0.014420111054540611,0.038047864110684816
