,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,0.9999999999999997,0.07144814218313958,0.053462475802254945,0.1127184572798607,0.07707843477787699,0.037991400456555,0.023973883234464363,0.132555002384051,0.2836629787591511,0.11184482595616527,0.17502468760443476,-0.004792745039328458,0.12768376076324722,0.046355849131413204,0.017070605277840448,0.04013784320880475,0.5156724180985364,0.24823125961837456,0.10132568354102797,0.5929446273682802,0.5506109098469373,0.2606734102207631,0.2464601343443496,0.12283952933623467,0.5374277169261924,0.0725995901180056,0.05418821159522231,0.3457923039020544,0.0727925876609176,0.07945879222845492,-0.008125845092961465,-0.01627250260090724,0.03198561498222596,0.7054598970701537,0.2709410756861645,0.6557817758344004,0.04249793724547779,-0.01522864545194347,0.601014185186936,0.683966035469412,0.11715423154474254,-0.020895895188467618,0.48883228159641734
anxiety,0.07144814218313958,0.9999999999999998,0.11054139360878767,0.23888818011454346,0.12037262039972726,-0.006378479625179215,0.08901419657688023,0.04732789787895745,0.0265415178976078,0.26831710030592143,0.28699931994909467,0.11385741853466685,0.145027080486302,0.08718022036618446,0.16294687377928646,-0.019484678750413157,0.16610654416778242,-0.008385703312208012,0.21770358867707412,0.10580387389029007,0.018527098081792363,0.31232225761840415,0.0709455727293882,0.3625113465407518,0.05067427720666818,0.1790679878924564,0.3139177345041492,0.1612452726309833,0.18776885079973393,-0.018027774179755752,0.10084980775607198,0.13596916968824768,-0.012349319830681094,0.02871420174156887,0.18616835971961215,0.04145252908975241,-0.017344062920744592,0.03921419341041548,0.0407915486439736,0.049633754836293585,0.12460725860643164,-0.007413408183527037,0.033814551134557926
bloating,0.053462475802254945,0.11054139360878767,1.0000000000000002,0.12561671453411524,0.030049727847385056,0.031174209083945397,0.5292330083700225,0.017324319645049577,0.06850778205023406,0.15238760173998994,0.010529823001277675,0.0959840371440285,0.013701244862194378,0.6700362576083375,0.09317708749538488,0.004996888416820608,0.11994156887897077,0.8593098721594943,0.20764021831265506,0.028056884093052563,0.029896702366584732,0.029639447336447897,-0.003385299282788151,0.08939359377664302,0.0432158974455937,0.03263345624237635,0.18519040639400153,0.06037100179165522,0.08249407222906781,0.008123093243815823,0.028587432588126453,0.034833691001568294,0.034022437353480345,0.03915390326427544,0.11011280634937971,0.04117996979060741,0.04518993049665762,-0.02994644803909355,0.03360999259941089,0.2502470988186382,0.018417398092182246,-0.018364719679429656,0.038471708521047615
brain_fog,0.1127184572798607,0.23888818011454346,0.12561671453411524,1.0000000000000002,0.06956407332280903,0.11693977543834008,0.0004155830977164982,0.07903444681583902,0.03384716632091797,0.09591416797200296,0.25389544771513906,-0.01286094470003546,0.23695912319838958,0.035510543671152875,-0.016729887551007114,0.07625801513218183,0.3444343600265467,0.04521751138055322,0.09791186616845149,0.10082363219861004,0.03384480619810056,0.10186205247009306,0.02253052150107148,0.04966708346156318,0.14170537563878738,0.4784651445000309,0.18588830791628588,0.1290462251839794,0.08978558024760658,0.04274554500981672,0.17471273208888116,-0.013168048349077964,-0.06710108596318816,0.0755126865385438,0.49637439080084744,0.047609751255660256,0.02743728386033682,0.11029482621612703,0.06478347478721133,0.08219940151713732,0.1245601828684301,0.01817689818400047,0.03838808882051175
breast_pain,0.07707843477787699,0.12037262039972726,0.030049727847385056,0.06956407332280903,1.0000000000000016,0.3329655503751912,-0.006060827426925099,0.05385473729459673,0.05084813629530298,0.3891713350671605,0.057191330867499716,0.004865394584170563,0.025101658259147397,-0.00034869142421073597,0.017320435118930964,0.061282500525586224,0.18147687692250714,0.004929435002380756,0.14623567422272868,-0.004777391487491113,0.0018178722355062938,0.27124020858207615,5.7909242434965716e-05,0.08574242800430858,0.04684206236354582,0.04003131070399582,0.16963078792438424,0.1931411134640582,-0.026048802053854493,0.005025223729764886,0.03250446759649744,0.07274115147773848,0.024253978304352077,0.007654493378271285,0.15839172000532187,-2.633644152065733e-05,0.3066507538619312,-0.03887256617241133,-0.006453585330579812,-0.004337242393167564,0.0072411922217630225,-0.011952073492759778,0.03701618869606469
breast_swelling,0.037991400456555,-0.006378479625179215,0.031174209083945397,0.11693977543834008,0.3329655503751912,1.0000000000000004,-0.00811285404593034,0.05924708998339878,0.31113516027879784,0.1298513772033187,0.07692675625941736,-0.0013189378380935822,0.004245371138800486,-0.009975824730893808,-0.015787641620350974,0.005384723335849628,0.05280498304820851,-0.0017395223132818678,0.015216513897078643,-0.00993584933901401,-0.018005505796232626,0.04549550684514702,-0.0187237373280333,-0.028606921968282205,0.05843337364446329,0.04529320155774086,0.04391452341946036,0.2278800925467407,-0.010640043937935021,0.024114235433093937,0.05576864916603846,-0.012086056925468398,0.2416832185591655,-0.01066369139758556,0.19080984534802747,-0.023528298359397296,0.08818524012612,-0.05492781229875722,0.014683306076446153,0.008973687838110785,-0.029537081603141387,-0.011829313678477263,0.031193708681933396
brittle_nails,0.023973883234464363,0.08901419657688023,0.5292330083700225,0.0004155830977164982,-0.006060827426925099,-0.00811285404593034,0.9999999999999998,-0.006220386976786174,0.006233711269433277,0.15955177607829732,0.045574557385569106,0.8637328408638416,-0.025599130296381136,0.9700501217194286,0.8504292168525075,-0.0055786466768487485,-0.004490966634858478,0.4589757290672788,-0.0030357227161423826,0.01776632757665192,0.04476208653652364,0.008969672033631705,-0.00010490689627708177,-0.01451294275232248,0.009117354962786569,-0.006703757624765521,0.057372845377318425,-0.002325864868538884,-0.020390512878845933,-0.007247499339070275,-0.015668820593550722,-0.011332977278711309,-0.012821578519722194,0.03831664110249668,0.0014047961385729257,0.029706731540277264,0.026093721969333572,-0.020251594434329976,0.03003052531333471,0.1469614583014256,0.07435799931877059,-0.0062494540111500164,0.08817826359699932
chills,0.132555002384051,0.04732789787895745,0.017324319645049577,0.07903444681583902,0.05385473729459673,0.05924708998339878,-0.006220386976786174,0.9999999999999999,0.14224153472742998,0.055379166831424964,0.062420459019726066,-0.009587610122163286,0.04142514895151734,0.002083758540473745,3.00600890306741e-05,0.10313573915775442,0.11451979683139839,0.06602447499251683,0.07665002096096725,0.21574454342936147,0.1536199407644237,0.04528505767879985,0.07625398601194859,0.1823171062448583,0.21081813080993725,0.07937615316825296,0.06177600499451602,0.19131830338524625,0.10799954570015888,-0.013290561684560692,0.023255035384228035,-0.02163940463705944,-0.02240610975924813,0.18455318253467337,0.11482950250557603,0.18222262488333002,0.054770108403932774,0.10870397026175282,0.1369762904151703,0.17493511296322528,0.0549649853667508,-0.003996928003810205,0.11422575728439065
constipation,0.2836629787591511,0.0265415178976078,0.06850778205023406,0.03384716632091797,0.05084813629530298,0.31113516027879784,0.006233711269433277,0.14224153472742998,0.9999999999999994,0.1050201234163752,0.15190930520058962,-0.002512648960683519,0.05043251717914337,0.009431847111733045,-0.0015003433702886076,0.0010160174447502693,0.2862317450383165,0.12748480852485042,0.016843179399151486,0.34980890735608033,0.2816424784791963,0.12584083929534193,0.12774599137095055,0.05870382267598622,0.21500459556872933,0.033663970028819025,0.01836119863079286,0.2293023434221884,0.06861040419085815,-0.0023958520343462185,0.04261675146454547,-0.0037916872300041015,0.48992302090329437,0.38032565203965024,0.10104234262423704,0.3541510708676868,0.10344010211940372,-0.021184431114468022,0.3292224370652534,0.36333772580792745,0.10906612158171088,-0.013273921203051934,0.30168128716619186
cramps,0.11184482595616527,0.26831710030592143,0.15238760173998994,0.09591416797200296,0.3891713350671605,0.1298513772033187,0.15955177607829732,0.055379166831424964,0.1050201234163752,1.0000000000000009,0.12049756440753191,0.21146718982847204,0.054043728477332686,0.16086922025754433,0.22812424231381526,0.006787236286512924,0.2308322523938926,-0.006420934533483396,0.3776063588103322,0.03947389820214803,0.09639867029115672,0.3646011440749474,0.05473586804780735,0.23168767059941864,0.06044166703469077,-0.057728281141260704,0.1308432912222174,0.1464905036447641,0.1854656493254701,0.04016799894699355,-0.03566829247732038,0.2064348515021939,0.1405402291100003,0.054915220321109105,0.14553332575661995,0.05554413056485628,0.45870997105188305,-0.07382648730419712,0.05107454166768376,0.041677110662680227,0.028541934170097996,-0.013189602938470798,0.14259771932685975
