,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,0.9999999999999999,0.06692860269506817,0.0760281797986411,0.07074597880846584,0.02228445694964293,-0.012982058974859717,0.33046236939863083,-0.006921050721884434,-0.015347242794724462,0.023183506646980986,-0.04520115723346519,-0.004872799380336228,0.23871221633333936,0.3372710543435685,0.10339825585736215,0.07118456382075267,0.1559128645068386,-0.008479319768623296,0.080523350688264,0.10560052182791083,0.011325089543929965,0.11232672925499375,-0.03378501971707235,-0.01067787518537303,0.2571039111653282,0.021436314982420206,-0.005647785733240658,0.047442164834569485,-0.012520322706235376,0.1724883773416582,-0.011216761837949623,-0.021644551196196068,-0.04742650335657632,0.03760417506826884,0.14812709770471405,-0.05774241721092299,0.025504342437401007,0.019253058861201083,-0.052392946556766,0.10940465939403973,-0.00017310168027966975,-0.02583601813373579,-0.0364074034997923
anxiety,0.06692860269506817,1.0000000000000002,0.33796650271145234,0.25105398572649146,0.16027754623608426,-0.002563592445775903,0.0011845811643571948,0.01324299098599027,0.016128039355521616,0.34298225043977315,0.3241550937928385,0.034582154245925534,0.1389909287991657,0.1488342400091633,0.2376071308022401,-0.01480515503389206,0.2513811270866179,0.00023747350947084386,0.24534780770577272,0.15741061171059237,-0.01362312629528081,0.3532945465981915,0.05015407661444789,0.379170372483283,0.007342919679901412,0.1765766242047768,0.369067072777782,0.21450889458949182,0.2053623258456763,-0.02920463865008117,0.12928789405641058,0.1352104543169628,-0.03729616599362545,-0.037700838339171434,0.21286281050958536,0.05610732250000912,-0.024006414715526312,0.035494598240494266,0.010843070310384745,0.12080355256759605,0.11174808695169211,-0.007216614995605527,0.0019846915709657376
bloating,0.0760281797986411,0.33796650271145234,1.0000000000000009,0.18184993491261522,0.12736933283396,0.14519779709628422,0.009602389385669041,0.08572428421077259,0.1893356774566366,0.38663989157206136,0.005267267924541459,0.05344110866946149,0.06261518141593377,0.10504104783521771,0.024968672785955066,0.07355099698783238,0.40684153439671017,0.04750559156397375,0.5759453619638044,0.048700812324569506,0.04427980506698333,0.1139721524227506,-0.017468595270185683,0.289833146219644,0.11506628487750652,0.11470573467434482,0.12625125928824282,0.21045479399094122,0.25635644641853594,0.052671082129292855,0.14411516742267685,0.10395103812661495,0.10260675697850205,0.056983051829528474,0.25000607664352653,0.11500024410037689,0.1099457050120726,-0.04308597907605718,0.0157455476930061,0.0264495923546426,0.06213932124996227,-0.03867780266165215,0.0427621801607758
brain_fog,0.07074597880846584,0.25105398572649146,0.18184993491261522,0.9999999999999988,0.09273793029733661,0.15624287521590927,0.14550571902480097,0.08065892699775565,0.004597099626112547,-0.009459794159173928,0.28146263782961845,0.07729913447625089,0.2096733587464638,0.2319081342672402,0.03458049622073025,0.09171452149150931,0.37289424993914244,0.0784778432610585,0.020014666427355946,0.0992775281665138,-0.03726354766278866,0.06650494848247596,-0.0007391038224551202,0.0628698237769669,0.10234669585696561,0.53688758733036,0.11595203636651928,0.10528714195738278,0.03296086395566001,0.04665449686045405,0.22734892298320106,-0.035801774645740005,-0.08170016060649256,0.09542143381401767,0.5428116957355508,-0.009288792457153049,-0.03874965886468379,0.09233025332271924,0.015034201638590067,0.0976677256424579,0.14892181019980005,0.023119025811391414,-0.010719810922117828
breast_pain,0.02228445694964293,0.16027754623608426,0.12736933283396,0.09273793029733661,1.0,0.17842056500663578,0.003610773637621466,-0.0399046574899542,-0.007628790336528883,0.429123255872745,0.0013344775627796796,-0.019484832911085333,0.034144321835347484,0.04110013456688714,0.07807516502519936,-0.009926695568679101,0.31578122230528194,-0.037357792001815056,0.11479195066310822,-0.017300569770678325,0.014224104451524373,0.37536070925172244,0.0012464496175522185,0.09338438421606096,-0.0018429784561094257,0.0627732925941282,0.21983991652690782,0.016780076211115037,-0.033787992855945116,0.019938249498541463,0.030269725122873636,0.07688800735237393,0.038636782555550295,0.10222880066999607,0.14000810737478175,-0.03350562701835976,0.3068936911980826,-0.021047872470136623,-0.002496737779774873,0.01585060823559077,0.014500390826687302,-0.011759653178625061,0.06974890487003294
breast_swelling,-0.012982058974859717,-0.002563592445775903,0.14519779709628422,0.15624287521590927,0.17842056500663578,1.0,0.13532528258572216,-0.03835789890518632,0.3682352049767275,0.05490768110938562,0.0027441991396376132,0.03378103039206534,0.012115795378738135,0.056749944527029174,-0.034940586472633026,-0.04420657836089524,0.07117521630741502,0.020266937379164914,-0.04386998518786787,-0.007925144985454543,-0.027120913639136626,0.0709453833502895,-0.0008281119636759458,-0.059215107347936155,0.014346720373246866,0.08504400239357221,0.05604907327637002,0.0046605542470840085,-0.0035488004354753983,0.051602380957083034,0.07471147091204935,-0.0108057664180069,0.3163737840184658,0.05582686038966343,0.1577040180170176,-0.07596944912389175,0.032514200760067904,-0.050371105765326,0.08844919326203121,0.13515229451727329,-0.013794775524994982,-0.011353917606253561,0.08600407960625406
brittle_nails,0.33046236939863083,0.0011845811643571948,0.009602389385669041,0.14550571902480097,0.003610773637621466,0.13532528258572216,0.9999999999999997,0.08865049664443828,0.07614429535087561,-0.049787342566075574,-0.001611294923497365,0.03372665226292938,-0.005864920977817265,0.10921862925835726,0.24718042982501567,0.2512309066063135,-0.02726537198082558,0.11462143152341904,-0.03282003096460057,0.0025249285347933013,-0.012394334166624174,-0.03880640404749127,-0.04423423633386628,0.08216336645147036,0.21214447760400304,0.06786838603111077,0.06974310347940323,-0.004913872200756685,0.00028692222207127896,0.029622577375066253,0.07786185750325043,0.0046571977816299405,-0.013174940751149446,0.07235752840264147,0.0003560590579970702,-0.028294204116759265,-0.05448981856161482,0.02157905477001358,0.013775880206432592,0.06383931908983004,0.03401177578328185,-0.018430197161431235,0.06112875854448351
chills,-0.006921050721884434,0.01324299098599027,0.08572428421077259,0.08065892699775565,-0.0399046574899542,-0.03835789890518632,0.08865049664443828,1.0000000000000002,0.05132860234192377,0.014847955561067995,-0.014853501506004224,-0.022763563027444183,0.04430665224939153,0.11606687806285047,0.027526328636801618,0.11084384211359176,0.006724838195483833,0.14904594552600145,0.043791438130980895,0.1126050739681972,0.016031746349829987,0.0033497078604968213,-0.02527516029176073,0.1916520564586023,0.11962271318538338,0.06521015302952976,0.10940575032005817,0.05211565400684379,0.08574734443977938,-0.008368853951660604,0.010506862895774726,-0.04902495616135706,-0.028447682412140605,0.07319541552149812,0.06347410785435288,0.07931387826472232,0.02262994183912636,0.11763877070910869,-0.03324502173181382,0.05414779756530018,0.0007989079772468103,-0.0049202945835083705,-0.020812942818365633
constipation,-0.015347242794724462,0.016128039355521616,0.1893356774566366,0.004597099626112547,-0.007628790336528883,0.3682352049767275,0.07614429535087561,0.05132860234192377,0.9999999999999999,0.07984741385161265,0.04302105339937645,0.0014936340372471396,0.06903652987853041,0.02586123187445582,-0.0004794792458502264,-0.008724620193662708,0.05589614678186853,-0.011573748571535501,-0.013647724205046712,0.08745049479411209,-0.025092839223140116,0.018433709068056157,-0.027011545199322248,-0.004613890603398581,-0.02199356521447349,-1.819991031908503e-05,-0.018365890521866733,0.02627971200887539,0.03156497193213976,0.006242322692728835,0.029650464052899953,-0.006035041545830641,0.5678501732117569,0.00888035355971917,-0.0018203003685527007,-0.03301435399255175,0.0979810153196916,-0.014550303754665851,-0.004878113993666312,0.01837900900160999,0.047289365398290824,-0.013668386335253063,0.046426847814016264
cramps,0.023183506646980986,0.34298225043977315,0.38663989157206136,-0.009459794159173928,0.429123255872745,0.05490768110938562,-0.049787342566075574,0.014847955561067995,0.07984741385161265,1.0000000000000002,-0.012716599893410969,0.05824034239434836,0.019050767904977086,0.04221063633971913,0.17207817892488503,0.005660675982993694,0.35235258082828924,-0.037351275786569035,0.3566101075608971,0.0017633727669108888,0.11060829890378653,0.5022727346803576,0.05826465918459476,0.297077747935995,0.024733772958438798,-0.061481116870458936,0.20216460995401533,0.13536601457610156,0.11536536593456169,0.07873384383966092,-0.009230327503854196,0.23651802061882285,0.19288807194758492,0.02938681042124293,0.007776680197542741,0.018541112298722982,0.35998735261258613,-0.0797854872414992,0.017084923381358686,-0.016068498588217642,0.010020435281527794,-0.013483710029053183,0.16723323908484367
