,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,hot_flashes,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,night_sweats,nipple_discharge,odor,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,0.9999999999999988,0.18848303841037223,0.21849771083957242,0.14224758335099347,0.07642649114408906,0.03410473048015374,0.1658689876885388,0.059814175432182384,0.15015004847098357,0.009799483560866778,0.06846238534058345,0.09703325561734862,0.14452822701788,0.33206912531723537,0.2852792284829012,0.14337115891604074,0.26438763167932816,0.05970975407738386,0.26119519208298375,0.16820135387454338,-0.0537877176075421,0.09687432125873402,0.16293911864519137,0.04675849471627109,0.25548567712587195,0.2376427300659473,0.13337532958641674,0.06696894404925775,0.22336414565845414,0.056750615097337545,0.06982995569340902,-0.01662328076227894,0.06823003050097938,0.03624788411004998,0.0968402793967906,0.11577255684247854,-0.012191098242278044,0.11747414769152476,0.02345334571171404,0.20685837028971812,0.09783441888637877,0.021149770311417983,0.08757952714592808
anxiety,0.18848303841037223,0.9999999999999994,0.13957666938476934,0.29979868952187005,0.10243714793379916,0.039705081048105974,0.24940715153233833,0.12250791466588166,0.09157840458700317,0.09628619739436242,0.444640825821124,0.18439662667321324,0.22648627520486486,0.15148129837374827,0.2680037985104395,0.15225335308668198,0.3868894566557449,0.20889468196722027,0.21456598941312838,0.1602373003768898,-0.06331276530988282,0.0803036588587943,0.2753054097602449,0.0706038364619608,0.19352642550054203,0.27674557041937314,0.22918344787771439,0.3898811025957515,0.3296471521571389,0.2068254394919566,0.06980873900948786,-0.0047339078379061,0.09818828318301712,0.022906401399023443,0.1524230330258178,0.09403058349829477,-0.004085427539037317,0.19315703584592425,0.08080376616559572,0.06885952243877341,0.13493326293708371,0.1953010483529685,0.03273723570567903
bloating,0.21849771083957242,0.13957666938476934,0.9999999999999984,0.22608307221228152,0.10681523294826414,0.13510904969922133,0.24767228612900183,0.03311484027068059,0.3210443837711679,0.10025045838883628,0.04450848723241647,0.12625128293052099,0.08722961451346517,0.1638122800226238,0.2123811460686963,0.1114282640905779,0.23108135854659123,0.09314265376677829,0.12031817041241559,0.24557892462217468,-0.062300908970552404,0.11078529550869584,0.10251606572407483,0.017189309043145244,0.19065899006083412,0.1957522182650673,0.23223156385846375,0.1296335708798276,0.21514507196294985,0.0718134132388946,0.09081853819207802,0.2069166680724829,0.04857231855662895,0.11431873726668365,0.07165817265266167,0.10312911732992137,0.28809611525792017,0.024929098932464058,0.04962895721562955,0.16581514911937376,0.03310357113052197,0.011365760656319748,0.042569291575031025
brain_fog,0.14224758335099347,0.29979868952187005,0.22608307221228152,1.0000000000000009,0.03298990858484611,0.05020418483468345,0.25465608586241056,0.12920289549008815,0.242730545223897,0.03103609818443673,0.31312772248415266,0.10391591646639356,0.272888358310495,0.20399343650619475,0.2567033206694397,0.115096219906475,0.4973623246047882,0.18851382449466397,0.17147965920549432,0.1201459687670013,-0.03824820662634854,0.08541157590430508,0.22606273424519432,0.09674909276546034,0.200446296648968,0.22166210308497925,0.496311062768582,0.25553965567296166,0.2794145076616305,0.10526989979318167,0.08659849609446048,0.1669948691500213,0.1232060263860372,0.06757922027810782,0.09914443164423667,0.2090408518356472,0.007760102156331748,0.11686152550044922,0.07127811312071046,0.15749128369739196,0.076636490387324,0.030912722099273607,0.027000895795208327
breast_pain,0.07642649114408906,0.10243714793379916,0.10681523294826414,0.03298990858484611,1.000000000000001,0.2948702967996746,0.0674120937430436,0.03886381149141075,0.027626940180154828,0.1470650616841014,0.08890478959419124,0.07980528447804419,0.11798899841364495,0.10700201832316436,0.09500772841504808,0.004306075648826962,0.11617365894489419,0.013087667658943702,0.14001423008515326,0.07956988282087936,-0.03745971264401596,0.05079171724284593,0.07935143524610044,0.05790734391024927,0.057094710477452286,0.07047841543487922,0.020233868462966997,0.18804687156030933,0.10808827192494176,0.1034713101210407,0.015602836323028915,0.023120301136910954,0.0650067758628219,0.018093912870718137,0.04932894570560214,0.03929988537396839,0.10897177563896977,0.05202825583734021,0.011063293894898518,0.08353011177835423,0.06433748976899123,0.0427881948458109,0.13272129274213476
breast_swelling,0.03410473048015374,0.039705081048105974,0.13510904969922133,0.05020418483468345,0.2948702967996746,0.9999999999999988,0.02928780343901954,0.03870055614315033,0.08794418720606667,0.033167045525587774,0.03589391093327283,0.05710100455166077,0.053395391413045515,0.022017104113793585,0.10989299312461426,-0.003156785230867819,0.016274282488043846,0.07225668062576761,0.04087560712752499,0.01837878006372039,-0.04458621579726874,0.07074328818057513,0.03290867863722732,0.016558713961948204,0.018614740332885293,0.029982915764799258,0.053415832977893915,0.03780765224054755,0.03711559763564281,0.024148424311778133,0.02373126053444314,0.1621321840186901,0.05698368857616331,0.06285195521343936,0.045256326352168925,-0.004143226340482043,-0.012389268977217224,0.012981931362248096,0.027144768257529723,0.05012145961139764,0.05536637682494313,0.05000068377320685,0.09474254392927876
brittle_nails,0.1658689876885388,0.24940715153233833,0.24767228612900183,0.25465608586241056,0.0674120937430436,0.02928780343901954,1.0000000000000018,0.08962690269791286,0.2236752682287657,0.006337459380047341,0.23852897223208516,0.08001975853846062,0.17009277773980183,0.3089573728941184,0.46704958073484826,0.2775437705851877,0.29504827200235134,0.3726875663674466,0.1196733788129905,0.09081681333305482,-0.06704264756103187,0.1701371419998928,0.10310159259327994,0.043176147706409776,0.3145230230625153,0.3156872735088808,0.30923987991219454,0.18460370494286368,0.3991958363652229,0.04300300944049373,0.03029579714358679,0.043553396114148844,0.06942428791188734,0.017801111023416086,0.17526078379691934,0.09666651231928217,-0.01454971497401569,0.20206061852322663,0.014781858299486387,0.2498806592795484,0.02562993489424179,0.006993447935494856,0.05998094491806554
chills,0.059814175432182384,0.12250791466588166,0.03311484027068059,0.12920289549008815,0.03886381149141075,0.03870055614315033,0.08962690269791286,1.0000000000000007,0.10024460897264045,0.022650254755811016,0.052994750511257994,0.07059052323197833,0.1268190386852851,0.15736471226248122,0.10781518483502671,0.171750241800116,0.11598988230623625,0.05798247154983295,0.21570350290722,0.01783689896808993,0.10248335820078473,0.024258057342418322,0.16754278196566438,0.4535375495150016,0.15116321832345792,0.09001443165615287,0.058314120796216506,0.1372473910283919,0.08822820310981883,0.09223770007428438,0.15812005846999017,-0.011311298055461041,0.10902436687896806,0.07177592068648989,0.03130576551098191,0.07458854164562055,-0.01013484995193511,0.13544837575388236,0.005016517061939561,0.1399374360604598,0.0148746560472969,0.05945333966493059,0.006216925806261727
constipation,0.15015004847098357,0.09157840458700317,0.3210443837711679,0.242730545223897,0.027626940180154828,0.08794418720606667,0.2236752682287657,0.10024460897264045,1.0000000000000022,0.011155428069931065,0.13008651736984508,0.06545976769188065,0.12985087290784422,0.1586538580258958,0.1937000647194768,0.20140719666587426,0.196953825719353,0.12889952889550335,0.1505711130687869,0.11641693210825868,-0.044473817272965045,0.047844721817273984,0.09658734629959774,0.04689046646578726,0.2955419792964285,0.20244809254760246,0.29301920716495194,0.10830893445560727,0.23242442451261208,0.06847511820038124,0.08021228518385233,0.19386411880098678,0.05900775850189266,0.09083909872802963,0.12346492457498975,0.15273578601042684,-0.005140215647653536,0.100142435899011,0.025936670743398796,0.3001423890730394,0.0627773040328853,0.014327651519300499,0.0966166059262532
cramps,0.009799483560866778,0.09628619739436242,0.10025045838883628,0.03103609818443673,0.1470650616841014,0.033167045525587774,0.006337459380047341,0.022650254755811016,0.011155428069931065,0.9999999999999992,0.029097924649726443,0.09432913290437595,0.0487874582715254,0.004047374009802393,0.03933612577660816,0.058861488903950286,0.1024249739054514,0.011300385703485486,0.05542450747729372,0.03636465037227191,0.003573833403047174,0.013581212771609405,0.002427023159737605,-0.01746937258140213,0.030811332315113626,0.008168780433610408,-0.0035670661938657614,0.07491671152306796,0.012761357245496041,0.10764514286048239,0.01700674764795205,0.0262532655474846,0.05972001409180669,0.02859815913719883,0.02344262742254558,0.02785370388803678,0.19054805370734806,0.0025104828535705906,0.028892772811196527,0.01339478579494129,0.013381948532208992,0.13275860938204578,0.07292219602091107
