,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,hot_flashes,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,night_sweats,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,1.0000000000000002,0.2516992612614917,0.27433535003488885,0.1970844316316223,0.15308996216713613,0.21728042835731276,0.14578969253025878,0.10842468308637525,0.09021689132645458,0.1040281711425469,0.12583278601400813,0.25225884148817257,0.14728124926195887,0.2586396545645324,0.25912910949628293,0.11853627934516901,0.37746099669256383,0.051317039136393086,0.2646227686407435,0.15423838817674418,-0.005491169517335407,0.02797054062711167,0.22654222958713807,0.04987051245517977,0.24860582275693988,0.1514883806583648,0.1051726689491579,0.11732063356992876,0.23101444498612844,0.06803375999961225,0.08547052330896189,0.024998604263330337,0.09662955438852683,0.0594678961277401,0.07288331618177414,-0.013584273541466692,0.12717008020769047,0.026392172823350667,0.08469975330980142,0.11471142712564529,0.010370012025400902,0.14377214269437633,0.10535910069457843,0.0020854139759633474,0.07403554994808365
anxiety,0.2516992612614917,1.0000000000000013,0.24981217523378743,0.3708578685913811,0.19614862520022788,0.13714717383902209,0.1882529623240227,0.19096717545705572,0.17217005761621565,0.17752767441037684,0.41751809467689094,0.282444340713953,0.322812308291336,0.15232615825197202,0.1980628490020624,0.15321467847497566,0.4801510820030404,0.18788597690964923,0.3570075273326422,0.15822061273563717,0.039891045761912415,0.059268331993354226,0.2163024113198943,0.3533382958901862,0.1713151894670678,0.18460877501602696,0.22918199727224886,0.3409134930546679,0.3901393533504416,0.1837865705881508,0.17090234896390932,0.03505506558658191,0.15447433793628532,0.03629439050077971,0.10652175949154882,-0.013306677738408209,0.19508050727263324,0.13652320607835264,0.12986390807493223,0.19478062659929063,0.12410276767850016,0.19922867359862653,0.1460401522865535,0.010915882192718739,0.07364142442695329
bloating,0.27433535003488885,0.24981217523378743,1.0000000000000007,0.29586745710299966,0.2661747162264698,0.286210056823823,0.14563261021220195,0.15296812990085742,0.44402981028428173,0.35721436264489803,0.2743025737178205,0.2704951705120378,0.17251696970551086,0.17622753128214932,0.26891238798972783,0.08001199406773742,0.4451210202751757,0.13310512149613687,0.38831239474209794,0.33838659362817197,-0.0069796847694268945,0.043745701481092934,0.14592450054969802,0.11256589658992053,0.19193093156493937,0.1733806253254733,0.11711616148319831,0.33242533480649195,0.21818371823005867,0.22572297219932558,0.12685730971090356,0.05367722673242379,0.24434138638556857,0.055834981562165265,0.13968796474470876,-0.011555424343492831,0.10269039132689443,0.08259061749198149,0.13320267864337312,0.13457252189065713,0.017555550350040163,0.03027971687913935,0.15677107546742333,0.02050434528314169,0.060585617535459074
brain_fog,0.1970844316316223,0.3708578685913811,0.29586745710299966,1.0,0.14270225624988678,0.21317429126242524,0.2051128225419622,0.28227852019378913,0.13599920328895496,0.24412541401033006,0.37760527688615464,0.23696081489690363,0.333218342475088,0.34385811794990423,0.3250154945558885,0.20689661040204324,0.44379233637345333,0.10319181221520007,0.33546785876357793,0.3138398546188891,-0.004493409575493873,0.03591231829078248,0.19738548873810155,0.19793784178550056,0.32561585981738944,0.17868776221869903,0.45155888743757555,0.3896309547795932,0.25290815108597503,0.2534378095790759,0.10756337215253664,0.0851760735453987,0.2787312152072764,0.08886497607864932,0.20401956552074932,0.05437911599238736,0.21393124071907443,0.2603929433617529,0.13001041480929748,0.20776140522241018,0.08927850588222866,0.3014362011320498,0.21240954083990998,0.053326330783614664,0.14097360936454248
breast_pain,0.15308996216713613,0.19614862520022788,0.2661747162264698,0.14270225624988678,1.0,0.385726538425107,0.02385932766917305,0.09634113414515985,0.1097141677903405,0.24667912895754412,0.08833228708898867,0.12368830604148415,0.1091226014804588,0.15654125922608916,0.15814659729265115,0.06000943637313366,0.2517872414723646,0.11540370633795231,0.26442756675133894,0.1248284759640566,0.00032128731174270957,0.0274964327941988,0.130812691583295,0.12886543929701358,0.1741550527311991,0.09643593779115237,0.06839510411557538,0.28210440810370185,0.11035482401488059,0.08699135153228078,0.12042929127200004,0.05907666931775591,0.15871579787725973,0.1192186730246382,0.18298086923219406,0.004945303288989083,0.11473353667744662,0.10232752247081611,0.09777125875520107,0.12201823910674883,0.08691530176640073,0.05891854270088864,0.16991907265260622,-0.004060550227789655,0.12002653681577921
breast_swelling,0.21728042835731276,0.13714717383902209,0.286210056823823,0.21317429126242524,0.385726538425107,1.0,0.09163537041192582,0.10625823086441837,0.11266229500726324,0.17605058587575506,0.09714864682614205,0.1623105535079376,0.11278639442904027,0.14205179759363942,0.08845957965614422,0.10841089918369452,0.24713148376388594,0.05044424742955303,0.12924246942776718,0.11694632801612427,0.03789435456623306,0.06848368831819292,0.12219539711669682,0.10445195489493103,0.15735118174143398,0.09925301149153107,0.11372305160480839,0.1679761529404197,0.09869518500779628,0.057729009845536895,0.08028765522062993,0.06472977640358121,0.12837344104463208,0.17444326287845102,0.11276805189673511,0.0359149838945755,0.1076652543088667,0.11393537936481629,0.06731464670269495,0.15135299220718187,0.03923581447787084,0.14784956743866953,0.1294502411869055,-0.0033404231386096966,0.058965907481229415
brittle_nails,0.14578969253025878,0.1882529623240227,0.14563261021220195,0.2051128225419622,0.02385932766917305,0.09163537041192582,1.0000000000000013,0.09314605253828076,0.05002812156888489,0.14836818865365614,0.091372453515817,0.09501874912326216,0.10559284080773224,0.09997054823574675,0.345033029287962,0.2426647208312566,0.18120152296652647,0.31488626780026224,0.09257090550331773,0.07389811874605869,-0.01579484483207791,0.012404842604486495,0.06082791309987046,-0.005570895227634399,0.16053669982105745,0.10522639270330608,0.16629273875284106,0.08370075653369723,0.12690470292575254,0.03467672223149217,0.2162249485083828,0.10042592335452151,0.06330947470680204,0.0446836832578096,0.08446701945182322,0.04192860744133133,0.074862555890939,0.05090459057900358,0.09272654863182071,0.1729955412172761,0.05828391187529305,0.11921437802627503,0.028651359044800075,0.0031658005893057724,0.05530074272946317
chills,0.10842468308637525,0.19096717545705572,0.15296812990085742,0.28227852019378913,0.09634113414515985,0.10625823086441837,0.09314605253828076,1.000000000000002,0.06120442700906849,0.13283672295083782,0.10571012917419592,0.09213078319391105,0.16514183391134313,0.1775304292757542,0.19792399842494482,0.11107702732724106,0.22623894233813066,0.0635181599814863,0.14396813064805242,0.09813034004974712,0.15668178151179513,0.023824339079780328,0.20969330942201606,0.10184346290180982,0.21027517079650215,0.18675596447694445,0.2385462925344618,0.2004286011171168,0.1744780302063032,0.17231949559055584,0.16146627388320245,0.0716820541317618,0.12407231325408759,0.0826567360637582,0.07922896951559173,0.046641076932107735,0.10326508907000521,0.03506573554939216,0.05141081944808768,0.19179518255118494,0.10117563383056477,0.12428373469721882,0.0964765829437448,0.0059007388396921405,0.048161852784395075
constipation,0.09021689132645458,0.17217005761621565,0.44402981028428173,0.13599920328895496,0.1097141677903405,0.11266229500726324,0.05002812156888489,0.06120442700906849,1.0000000000000024,0.105521676175034,0.13789362929732493,0.18197560785069103,0.04701743319192462,0.03983048309248669,0.10020334516418641,0.10071950182469863,0.17676340423670542,0.08085663780274126,0.23531505095096591,0.10120166708412322,-0.02485577225013913,0.023236525852113738,0.09522261681307564,0.1080924981057263,0.13801995592500066,0.10564527989251456,0.07677210488268975,0.23974617857796027,0.17948606076388118,0.09883766999593308,0.05365675096051426,0.06076598962616625,0.1786875531132657,0.06322909314671692,0.09338909180453656,0.08073123136505678,0.0856179275964943,0.04300703370459603,0.06942543891102382,0.06392183286883973,0.02599401213686261,0.04711667216905169,0.0699328451363631,0.0033654263710730953,0.03526730971326771
cramps,0.1040281711425469,0.17752767441037684,0.35721436264489803,0.24412541401033006,0.24667912895754412,0.17605058587575506,0.14836818865365614,0.13283672295083782,0.105521676175034,1.0000000000000013,0.18402942785587265,0.16644478435667914,0.1515596147686534,0.12995329868856909,0.14268044147111614,0.042433918737678746,0.3594340667875065,0.051707798732712,0.25992667733520874,0.1501888380254324,0.00528507291114475,0.06215344858995238,0.10396806458199463,0.060969154192108625,0.18600064957524515,0.12407352789527248,0.14210348853248528,0.3370088724448305,0.20807161107506483,0.12095070288032649,0.04396891500204528,0.050363391967660605,0.14963198596309252,0.12539155611589717,0.21451637109890775,-0.0193606453580868,0.06950535415869943,0.0993511650725153,0.4509544722441102,0.13077691803107844,0.05144337069915367,0.04713709450625468,0.13012132503064677,0.015386223632421508,0.10809479722275646
depression,0.12583278601400813,0.41751809467689094,0.2743025737178205,0.37760527688615464,0.08833228708898867,0.09714864682614205,0.091372453515817,0.10571012917419592,0.13789362929732493,0.18402942785587265,0.9999999999999997,0.11119848090925182,0.16660629639741065,0.14569413240233633,0.12153056140012601,0.05273016191948711,0.39639424232966164,0.1432010435850842,0.40791063727364335,0.11079303807269818,-0.031199494757725644,0.01791608646963349,0.132396502510026,0.0709339226602106,0.14031578632321873,0.10704083642399638,0.14196727522613065,0.3327535148948391,0.19384778099328062,0.12223624906507548,0.10512638176145783,0.02343839381409079,0.13013324607952348,0.06282283690011059,0.09440824321963542,0.03707768393757491,0.12103921043285998,0.21577908781642388,0.12830369214881576,0.1069542916050487,0.03688141577215523,0.16765655164603957,0.12474910719114266,0.05526206956752011,0.10913939164286213
diarrhea,0.25225884148817257,0.282444340713953,0.2704951705120378,0.23696081489690363,0.12368830604148415,0.1623105535079376,0.09501874912326216,0.09213078319391105,0.18197560785069103,0.16644478435667914,0.11119848090925182,1.0,0.04799718277084615,0.16791988708346034,0.18540344151072227,0.22143345851888008,0.3380054855754803,0.22735945470595734,0.3631665302010166,0.1457635383388026,-0.014946674740050275,0.04306728101883892,0.1505295220197918,0.09211815689496357,0.10916356256540005,0.1785051349632213,0.09639243830572872,0.18452950064557155,0.3431193857432216,0.15327058416892966,0.13706866111133367,0.030789911216614334,0.2474645645101037,0.09620683381676601,0.06628908621666178,-0.0069016256350770576,0.22059716552498504,0.0750847237055856,0.16646665593671328,0.12823687016174454,0.03566262689495522,0.05755465559849255,0.11845612287278515,0.017301909044009172,0.10730392567149723
dizzy,0.14728124926195887,0.322812308291336,0.17251696970551086,0.333218342475088,0.1091226014804588,0.11278639442904027,0.10559284080773224,0.16514183391134313,0.04701743319192462,0.1515596147686534,0.16660629639741065,0.04799718277084615,0.9999999999999993,0.13674322306826012,0.17163503132129973,0.06579819579272453,0.47518406402747204,0.0446745832799973,0.19864030277386197,0.10949106918669212,0.011310831602108929,0.40522572547045754,0.15763773407761156,0.20677696363402867,0.18567262067745896,0.11548930434539001,0.22403261919296288,0.1316892952894055,0.1574864617359186,0.09375926720668279,0.05861633019959177,0.013313851444841119,0.20030098653545475,0.03626067856139025,0.0882798229568611,0.0399743847238855,0.07046836430792976,0.15065810471280258,0.09766075153400991,0.12675331327936945,0.11281687171480238,0.2248151044492908,0.18498924264577146,0.020077077333315364,0.02563895627020039
dry_eyes,0.2586396545645324,0.15232615825197202,0.17622753128214932,0.34385811794990423,0.15654125922608916,0.14205179759363942,0.09997054823574675,0.1775304292757542,0.03983048309248669,0.12995329868856909,0.14569413240233633,0.16791988708346034,0.13674322306826012,1.0000000000000002,0.4351217666641218,0.10411194546782357,0.2625214545615338,0.09318053510799183,0.3011856044100126,0.10064898127034785,-0.014898841359960228,0.01389316609889306,0.17093880994946178,0.025598609749076573,0.23467198609114376,0.11845365105839632,0.22343786270734292,0.1530604726930774,0.3333442325930031,0.11390534264618506,0.06943024949240643,0.024114164583954253,0.1354663730753523,0.04855250783685702,0.039110742149229,0.013116479093411066,0.19768165060888404,0.09745280804286555,0.06821644801364245,0.13928599341875247,0.04611196365085873,0.16220560217833133,0.15398887483317553,0.0017641732918167888,0.04391080676241181
dry_skin,0.25912910949628293,0.1980628490020624,0.26891238798972783,0.3250154945558885,0.15814659729265115,0.08845957965614422,0.345033029287962,0.19792399842494482,0.10020334516418641,0.14268044147111614,0.12153056140012601,0.18540344151072227,0.17163503132129973,0.4351217666641218,0.9999999999999998,0.24447473902959646,0.3087457583480971,0.13593517493335003,0.17557634912063033,0.18024898321671967,-0.0123943099361818,0.043341205982503905,0.15921786908319605,0.05324527593163097,0.44002263587090584,0.17907147734675502,0.3566817332393711,0.1792621232114442,0.2733854496182,0.25137854863830617,0.06575041357524455,0.06363827091768319,0.16268184489026155,0.04156757720238864,0.0891956487617257,0.024869348381196053,0.24558893550881009,0.09273137628138264,0.08434601385226861,0.20953087939655599,0.029617067036271132,0.11970306593598061,0.19994047220807074,0.012153913339408486,0.06470359996035775
