,allergies,anxiety,bloating,brain_fog,breast_pain,breast_swelling,brittle_nails,chills,constipation,cramps,depression,diarrhea,dizzy,dry_eyes,dry_skin,facial_hair,fatigue,hair_loss,headaches,heartburn,incontinence,insomnia,irregular_beat,itchy_skin,joint_pain,memory_lapse,mood_swings,muscle_tension,nausea,nipple_discharge,odor,ovulation,ovulation_pain,painful_intercourse,ringing_ears,sex_drive,spotting,tingling_extremeties,uti,vaginal_dryness,vertigo,vomiting,yeast_infection
allergies,1.0000000000000004,0.1281491796979681,0.06277115808160956,0.05862206693793,0.0200817040224643,0.036999015107799196,0.19058963228099698,0.009722716561153326,-0.005151076387615871,0.08712111657177814,0.040482424463940105,0.0437024848356169,0.08722456338893489,0.13743286303077504,0.10426879222964977,0.040142402062157564,0.12083012555855688,0.022212544538412378,0.05460668448909374,0.13614629999744268,0.07419999792323538,0.08082400116762985,-0.00019204429565876656,0.13891742888528402,0.1153450894113766,0.023424647213444984,0.024396869668823033,0.06309992889417722,-0.015224486986146783,0.06811840435545931,0.043572674679490775,-0.017264922626443496,-0.020046812972083394,-0.012189620461994606,0.06790512842458925,0.012323441349329915,0.0009311497333601447,0.08809755575614757,-0.019272784498314845,0.03429551828638759,-0.014875336156019343,-0.01055340673138927,-0.016520848727602924
anxiety,0.1281491796979681,1.0000000000000004,0.18479352634973664,0.356805986314984,0.10372517056986218,-0.004813873583140495,0.325870385582295,0.0508022321278457,0.019013046854184562,0.15417877927364843,0.39042303759179375,0.052754080074378804,0.10998460272506069,0.05073721427464649,0.16179973149965104,0.0819863590386893,0.3349079567279156,0.06002402409387346,0.17032277402903767,0.0792342585256823,0.027209652210106478,0.48019162504561264,0.06595835093077647,0.2606661495913701,0.10951150236976401,0.30188371033442696,0.4190046183684502,0.17826174151232788,0.1705296426094022,-0.02258621144292978,0.12194224835124629,0.04421208406663107,-0.008351150913529528,-0.036839792907700196,0.12935734289196793,0.0178108664481845,-0.03722834940435934,0.14423379586462523,-0.011314197072623749,0.05054742439447448,0.028289144726894082,-0.014785722788007296,0.023599302145822457
bloating,0.06277115808160956,0.18479352634973664,0.9999999999999992,0.1885967185542077,0.11758251670695155,0.17772973276487974,0.031595530095730184,0.04123666754189017,0.1870047110570339,0.30881523877427197,0.048295857130203505,0.08124169975177242,0.08767539967881854,0.1310396712869904,0.017419847772844162,0.046143917950035904,0.3571128990893488,0.03276441046692618,0.3733879091486681,0.10015320326626041,0.03777363647862981,0.07633665789627803,-0.01605743886806597,0.17982328428789077,0.1730210562607044,0.13672161586081022,0.069059951976306,0.18792237151890417,0.1266953064359188,0.007952736605908395,0.09303012185059191,0.1043826128109999,0.10688513214292125,0.00302332685889312,0.14672034366873826,0.04155198459242018,0.07280133247192964,-0.025897097485788813,0.11539701262584114,0.0500145266172891,0.00486368565073602,-0.015220323364372465,0.03376751012582002
brain_fog,0.05862206693793,0.356805986314984,0.1885967185542077,1.0000000000000002,0.08683866609578544,0.05912740942399891,0.2649579206347863,0.09096107843344635,0.03459546824256148,0.02966266345822597,0.3500389066130016,0.11753383284139439,0.19394803471521388,0.1377473978622662,0.08640829421972912,0.07410286694834411,0.4097935786644103,0.03699957695980051,0.09438216450140516,0.09125904193976682,0.06583837051507936,0.19348375087359812,0.03444773784852292,0.1506521382365132,0.21206151760645509,0.5021175222146086,0.21510135211134734,0.17376783525144623,0.03760026063058512,0.010293326173856523,0.12427385456136267,-0.003597694010158752,-0.058809725614355,0.014866865921115214,0.3457518150390549,0.040024091992443354,-0.016052736765826428,0.20874291939631667,0.005233699718464072,0.047128970025438296,0.09352098381523347,-0.007300352241270321,-0.011745593270064358
breast_pain,0.0200817040224643,0.10372517056986218,0.11758251670695155,0.08683866609578544,0.999999999999999,0.3617980731330939,0.021021468184251695,-0.002607728699803289,0.0233681229021511,0.36641807983633967,-0.008024491000578867,0.01931624611857946,0.05971113734600691,0.045318199750649116,0.05754486230385613,-0.0320400544051335,0.21297700149420978,0.15576156102838207,0.11639897860110003,-0.007000304083860706,-0.004949243759694302,0.20611481948721314,0.005562120305648485,0.04960895555364559,0.12391872593007158,0.009851110811113836,0.13373883831198305,0.08499212561124785,0.05181211297787278,0.0034255598119141335,0.00976008439784508,0.04498999434476387,0.026048636323436337,0.039461785940627,0.08928987158221915,-0.02558147556026658,0.14801757064334212,0.09329637002566293,0.03402683712491608,-0.016520572214015358,0.002795954939649345,0.017761694985749508,0.02711277040571764
breast_swelling,0.036999015107799196,-0.004813873583140495,0.17772973276487974,0.05912740942399891,0.3617980731330939,1.0000000000000007,0.05304635745546355,-0.006452872369300301,0.20161405843393715,0.11002812257249522,-0.026070557140771056,0.04512981466040951,0.003948317164314696,0.07173024174018837,-0.0028058083626368215,-0.03139301963637561,0.036441289057352645,0.19888797351571538,0.0175055651554632,-0.0017789470875022783,0.020434398597916365,0.0563864321195427,0.00018642133395284675,0.010230577899024424,0.0472374329170259,-0.007492880926441776,0.06540091712997154,0.060651222744990824,0.019981983833782215,0.0046145832224056245,0.07175004309372367,0.0168851911581662,0.1566289260956907,0.00984352552741621,0.07042224078220997,-0.021976200934113954,0.05081350257207893,-0.010759059392494526,0.039706566282209574,0.153022100115906,-0.001271296113847273,0.0029295256127902444,0.13927629927027632
brittle_nails,0.19058963228099698,0.325870385582295,0.031595530095730184,0.2649579206347863,0.021021468184251695,0.05304635745546355,0.9999999999999986,0.06121132872260632,0.057323899777998746,-0.0364273710690473,0.24889475928925356,0.07290435391327066,0.001952985420068093,0.07574911062249393,0.2371621666873294,0.21638285899629597,0.12760803534086645,0.12821328809334442,-0.01243912050938413,0.02282183140185141,0.05043034579106457,0.29087421944740666,-0.011185591023741049,0.20898968285029365,0.19508898458086285,0.26368867895758435,0.2178746162319838,0.06394010942410172,-0.009399862571493322,0.029746113196253896,0.09157457800055298,-0.0023180981123814936,-0.017154469922891238,0.03184395580520036,0.006496238951398464,0.016125994949785276,-0.027087329571949852,0.1726730416729445,-0.007657884432556027,0.06953413487339667,0.015097644318604653,-0.017546942627585917,0.02734339013772729
chills,0.009722716561153326,0.0508022321278457,0.04123666754189017,0.09096107843344635,-0.002607728699803289,-0.006452872369300301,0.06121132872260632,0.999999999999998,0.04872964813596435,0.006834342888632036,-0.00751079988060352,0.03380410720423074,0.049706767394852885,0.11388234015948856,0.05363889172178581,0.11857339641058541,0.040230731729644496,0.07525216258543226,0.0816498140523779,0.0687944941757223,0.07263128888205256,0.0537815259112218,0.04291137589273719,0.16238973851635954,0.06307860311933526,0.027869963885286765,0.046823265551762625,0.08986438185763244,0.08368306660722111,-0.0046248119894438606,0.018899548806157237,-0.02434237490027012,0.01193002154138827,0.04086736369945305,0.08714797850674888,0.06363118014283241,0.013102304328922587,0.17600678046243648,-0.011681432870109639,0.059121650005857715,0.02148392510859848,0.013439869239871676,-0.005331891521187392
constipation,-0.005151076387615871,0.019013046854184562,0.1870047110570339,0.03459546824256148,0.0233681229021511,0.20161405843393715,0.057323899777998746,0.04872964813596435,0.9999999999999988,0.08908823389995307,0.03598168175357085,0.022018920025510015,0.09596026788171516,0.22479016265101204,0.025642512892205854,0.03869828666125787,0.09246490109001315,0.03111656754423598,0.0786661167782481,0.06755752787684144,0.026379609079051913,0.047287860757238016,0.014321412911910239,0.013191130060294801,0.04067450392631815,0.009669088305938552,0.0028045733924226017,0.06073613281236138,0.042310704609198835,-0.0004890600389818583,0.03964149437543366,-0.0005044908136574913,0.4071053994589745,-0.0023176024309229785,0.05575846014712815,0.014878773547783762,0.13192893450047233,0.026436228148630486,-0.007062603853642285,0.06845914396346402,0.04009268059141306,-0.014132305067659017,0.042900523168993336
cramps,0.08712111657177814,0.15417877927364843,0.30881523877427197,0.02966266345822597,0.36641807983633967,0.11002812257249522,-0.0364273710690473,0.006834342888632036,0.08908823389995307,1.0000000000000002,-0.04455301608879137,0.09307575352146195,0.08601137250518587,0.0685135388353304,0.10759143353599555,0.0023779641559049424,0.27642210439905296,0.009746666839893822,0.32459527106934366,0.045277694290027835,0.10735580529977405,0.2625019895666589,0.040448657178937926,0.121635438043976,0.08939109176259526,-0.07376471919029381,0.10893248741896129,0.13370687961916963,0.11833814574531903,0.004475282556403381,0.028013166768440508,0.11149319879094312,0.1898585346088639,0.02190406761696088,0.014307174040432549,0.011037281995120246,0.2771141994278659,-0.007882289880195344,-0.016822828126411195,0.0014360849352867324,-0.009553398980107122,0.004706218017451291,0.10756992308678409
